Layers,Nodes,Function,train MSE,test MSE
1,4,x,9.982703886635136e-06,9.513384611636866e-06
1,4,x**2,0.038242656737565994,0.023982612416148186
1,4,x**3,1.6057531833648682,0.9265180826187134
1,4,x**4,56.67963790893555,34.49267578125
1,4,x**5,949.01806640625,503.2685241699219
1,4,1/x,4789.4765625,8824.1123046875
1,4,1/x**2,8367755776.0,14661006336.0
1,4,1/x**3,84944638443520.0,54652783558656.0
1,4,1/x**4,74692056580096.0,59176919236608.0
1,4,1/x**5,1747672390172672.0,130481827872768.0
1,4,sin(x),0.001072743907570839,0.0009236723999492824
1,4,cos(x),0.0010579987429082394,0.0006370323826558888
1,4,sin(2x),0.034245576709508896,0.029518261551856995
1,4,cos(2x),0.038414690643548965,0.045243728905916214
1,4,sin(x**2),0.09119951725006104,0.11884305626153946
1,4,cos(x**2),0.11795283854007721,0.10196498781442642
1,4,tan(x),657.328857421875,70.81648254394531
1,4,exp(x),0.12918858230113983,0.12938828766345978
1,4,sqrt(x),0.0038485433906316757,0.003521948354318738
1,4,log(x),0.3407555818557739,0.3187423348426819
1,4,exp(-x**2),0.003941850736737251,0.004560898989439011
1,8,x,8.503743629262317e-07,6.0675637314489e-07
1,8,x**2,0.015290126204490662,0.007479076273739338
1,8,x**3,0.6959713101387024,0.3616178631782532
1,8,x**4,48.766632080078125,29.323566436767578
1,8,x**5,828.1841430664062,421.4410400390625
1,8,1/x,4793.74853515625,8821.9619140625
1,8,1/x**2,8367358464.0,14660277248.0
1,8,1/x**3,84944596500480.0,54652745809920.0
1,8,1/x**4,74691788144640.0,59176717910016.0
1,8,1/x**5,1747672121737216.0,130481785929728.0
1,8,sin(x),0.00011424597323639318,0.0001223717408720404
1,8,cos(x),0.001086707809008658,0.0005337727488949895
1,8,sin(2x),0.031949613243341446,0.028883902356028557
1,8,cos(2x),0.012705591507256031,0.012904404662549496
1,8,sin(x**2),0.08884737640619278,0.12528951466083527
1,8,cos(x**2),0.10753072053194046,0.09250393509864807
1,8,tan(x),657.3473510742188,71.0124282836914
1,8,exp(x),0.1241975724697113,0.12462648749351501
1,8,sqrt(x),0.0035795550793409348,0.0032590609043836594
1,8,log(x),0.21343442797660828,0.21044234931468964
1,8,exp(-x**2),3.751536496565677e-05,3.973484126618132e-05
1,16,x,2.356473032705253e-06,2.360335429330007e-06
1,16,x**2,0.003192867850884795,0.0014388624113053083
1,16,x**3,0.43366575241088867,0.1953863501548767
1,16,x**4,36.767940521240234,19.258501052856445
1,16,x**5,702.6984252929688,315.48065185546875
1,16,1/x,4787.37451171875,8842.9189453125
1,16,1/x**2,8366975488.0,14659571712.0
1,16,1/x**3,84944562946048.0,54652703866880.0
1,16,1/x**4,74691578429440.0,59176554332160.0
1,16,1/x**5,1747672121737216.0,130481743986688.0
1,16,sin(x),5.5300206440733746e-05,5.894438436371274e-05
1,16,cos(x),0.0011013956973329186,0.0006145628285594285
1,16,sin(2x),0.024415576830506325,0.02411065623164177
1,16,cos(2x),0.015242109075188637,0.013620206154882908
1,16,sin(x**2),0.07954701036214828,0.11768923699855804
1,16,cos(x**2),0.10116860270500183,0.0888807475566864
1,16,tan(x),656.9855346679688,71.0040054321289
1,16,exp(x),0.05929204449057579,0.04881257936358452
1,16,sqrt(x),0.004548754543066025,0.00404916750267148
1,16,log(x),0.20440107583999634,0.20145033299922943
1,16,exp(-x**2),6.715213385177776e-05,6.383462459780276e-05
1,64,x,9.240763176876499e-08,4.491166194497964e-08
1,64,x**2,0.0006843382143415511,0.0003626751131378114
1,64,x**3,0.15012426674365997,0.05821390450000763
1,64,x**4,21.828651428222656,10.614523887634277
1,64,x**5,448.4596252441406,143.85450744628906
1,64,1/x,4780.45849609375,8870.4169921875
1,64,1/x**2,8362950144.0,14652099584.0
1,64,1/x**3,84944177070080.0,54652250882048.0
1,64,1/x**4,74688852131840.0,59174528483328.0
1,64,1/x**5,1747671047995392.0,130481374887936.0
1,64,sin(x),2.143444180546794e-05,1.6846317521412857e-05
1,64,cos(x),0.000579544750507921,0.0003450507647357881
1,64,sin(2x),0.018594199791550636,0.018141450360417366
1,64,cos(2x),0.008852848783135414,0.005349274724721909
1,64,sin(x**2),0.07732707262039185,0.11821597814559937
1,64,cos(x**2),0.09002276510000229,0.07906841486692429
1,64,tan(x),657.0159912109375,70.91063690185547
1,64,exp(x),0.022403918206691742,0.012460682541131973
1,64,sqrt(x),0.003475683741271496,0.0031581176444888115
1,64,log(x),0.21701247990131378,0.21368680894374847
1,64,exp(-x**2),8.729157707421109e-05,8.937530947150663e-05
1,128,x,8.113959779620927e-07,9.319771265836607e-07
1,128,x**2,0.0005906628211960196,0.00028393196407705545
1,128,x**3,0.10570057481527328,0.04190751910209656
1,128,x**4,18.54326629638672,8.964950561523438
1,128,x**5,365.6806640625,106.2209701538086
1,128,1/x,4778.96484375,8881.693359375
1,128,1/x**2,8358920192.0,14644483072.0
1,128,1/x**3,84943749251072.0,54651755954176.0
1,128,1/x**4,74685966450688.0,59172376805376.0
1,128,1/x**5,1747669571600384.0,130480989011968.0
1,128,sin(x),4.068778798682615e-05,4.157672810833901e-05
1,128,cos(x),0.000503343646414578,0.0003041433810722083
1,128,sin(2x),0.01061223354190588,0.011065000668168068
1,128,cos(2x),0.00828748382627964,0.00460984418168664
1,128,sin(x**2),0.0813557356595993,0.1241748258471489
1,128,cos(x**2),0.08704749494791031,0.07637062668800354
1,128,tan(x),656.8255004882812,70.63478088378906
1,128,exp(x),0.018862316384911537,0.010475045070052147
1,128,sqrt(x),0.003281711833551526,0.0029749476816505194
1,128,log(x),0.23681221902370453,0.2323586642742157
1,128,exp(-x**2),5.821193917654455e-05,6.271040183492005e-05
2,4,x,1.3692879292648286e-06,1.5509591548834578e-06
2,4,x**2,0.01113487035036087,0.005782436579465866
2,4,x**3,0.4755568206310272,0.3048732280731201
2,4,x**4,32.92095947265625,13.351673126220703
2,4,x**5,542.7905883789062,184.70899963378906
2,4,1/x,4759.65771484375,8896.873046875
2,4,1/x**2,8366178816.0,14658106368.0
2,4,1/x**3,84944495837184.0,54652628369408.0
2,4,1/x**4,74690236252160.0,59175564476416.0
2,4,1/x**5,1747671853301760.0,130481685266432.0
2,4,sin(x),0.00013664696598425508,7.14998968760483e-05
2,4,cos(x),0.00022123059898149222,8.523284486727789e-05
2,4,sin(2x),0.0015199468471109867,0.00118628132622689
2,4,cos(2x),0.0019797279965132475,0.001477807410992682
2,4,sin(x**2),0.026713917031884193,0.04484802857041359
2,4,cos(x**2),0.04169314354658127,0.04210742563009262
2,4,tan(x),655.5640258789062,69.61344909667969
2,4,exp(x),0.0966794565320015,0.09379271417856216
2,4,sqrt(x),0.0015986270736902952,0.001361892675049603
2,4,log(x),0.06843335926532745,0.07741880416870117
2,4,exp(-x**2),1.4941572771931533e-05,1.5011119103292003e-05
2,8,x,6.27039014489128e-07,6.715598033224524e-07
2,8,x**2,0.0007328729261644185,0.0002152735978597775
2,8,x**3,0.041038915514945984,0.014797207899391651
2,8,x**4,14.10984992980957,3.820490837097168
2,8,x**5,271.9820251464844,38.77802658081055
2,8,1/x,4741.58154296875,8971.9404296875
2,8,1/x**2,8357913600.0,14642681856.0
2,8,1/x**3,84943707308032.0,54651697233920.0
2,8,1/x**4,74680446746624.0,59168270581760.0
2,8,1/x**5,1747669974253568.0,130481030955008.0
2,8,sin(x),9.671945008449256e-06,4.4751041059498675e-06
2,8,cos(x),0.0001163746856036596,4.5251672418089584e-05
2,8,sin(2x),0.0004122937680222094,0.00028424945776350796
2,8,cos(2x),0.0008306275121867657,0.0005717426538467407
2,8,sin(x**2),0.025116287171840668,0.04266795516014099
2,8,cos(x**2),0.010415874421596527,0.01674465835094452
2,8,tan(x),654.3917846679688,70.229248046875
2,8,exp(x),0.010701725259423256,0.006215555127710104
2,8,sqrt(x),0.0006398610421456397,0.0004790754755958915
2,8,log(x),0.04593801125884056,0.06001723185181618
