Layers,Nodes,Function,train MSE,test MSE
5,4,x,3.057976755371783e-06,2.6147920380026335e-06
5,4,x**2,0.000497738248668611,0.0002994628739543259
5,4,x**3,0.1156340092420578,0.0713883638381958
5,4,x**4,1.0558650493621826,0.1972290575504303
5,4,x**5,261.0080261230469,9.844740867614746
5,4,1/x,4685.18603515625,9205.1064453125
5,4,1/x**2,8357537280.0,14642178048.0
5,4,1/x**3,84943732473856.0,54651726594048.0
5,4,1/x**4,74680270585856.0,59168144752640.0
5,4,1/x**5,1747669974253568.0,130481081286656.0
5,4,sin(x),8.428910950897262e-05,1.4163554624246899e-05
5,4,cos(x),7.486654067179188e-05,4.498408816289157e-05
5,4,sin(2x),0.001790965790860355,0.00012135030556237325
5,4,cos(2x),0.025109998881816864,0.03155652433633804
5,4,sin(x**2),0.00836117286235094,0.006452374625951052
5,4,cos(x**2),0.029150912538170815,0.02637389674782753
5,4,tan(x),640.34716796875,70.71459197998047
5,4,exp(x),0.001972553785890341,0.0011031150352209806
5,4,sqrt(x),0.00033339348738081753,0.0002666943764779717
5,4,log(x),0.014897173270583153,0.01876673474907875
5,4,exp(-x**2),1.3581951861851849e-05,1.3864694665244315e-05
5,8,x,2.1355258468247484e-06,2.0152147044427693e-06
5,8,x**2,6.463603494921699e-05,6.204935925779864e-05
5,8,x**3,0.0053802295587956905,0.004194693174213171
5,8,x**4,0.33782902359962463,0.13513174653053284
5,8,x**5,339.0271911621094,403.4281311035156
5,8,1/x,4126.5419921875,10418.505859375
5,8,1/x**2,7758962176.0,13123377152.0
5,8,1/x**3,82347835785216.0,51274791780352.0
5,8,1/x**4,56978428657664.0,45929914695680.0
5,8,1/x**5,1737514926735360.0,127632620388352.0
5,8,sin(x),3.1865216442383826e-05,1.1411104424041696e-05
5,8,cos(x),8.217993126891088e-06,3.948205630877055e-06
5,8,sin(2x),0.0011052509071305394,0.0008855846244841814
5,8,cos(2x),0.0001514238683739677,3.8420927012339234e-05
5,8,sin(x**2),0.0023688345681875944,0.0012397959362715483
5,8,cos(x**2),0.0007659901748411357,0.001155925216153264
5,8,tan(x),637.203369140625,71.18484497070312
5,8,exp(x),0.00036731819272972643,0.0002907238667830825
5,8,sqrt(x),0.00013091664004605263,0.0001241740392288193
5,8,log(x),0.012595987878739834,0.020819760859012604
5,8,exp(-x**2),2.7441019483376294e-06,2.937160388682969e-06
5,16,x,2.747714643192012e-05,2.8050017135683447e-05
5,16,x**2,0.00011180687579326332,0.00010681591811589897
5,16,x**3,0.0007584437262266874,0.0010460991179570556
5,16,x**4,0.030062930658459663,0.05720328167080879
5,16,x**5,0.11416032910346985,0.1753315031528473
5,16,1/x,4740.4208984375,8681.3017578125
5,16,1/x**2,5151563264.0,7520190976.0
5,16,1/x**3,79420404531200.0,46947629006848.0
5,16,1/x**4,15562640982016.0,7813319884800.0
5,16,1/x**5,1696821319565312.0,119322781417472.0
5,16,sin(x),1.1713166259141872e-06,1.0993694559147116e-06
5,16,cos(x),5.749061529058963e-06,4.1842777136480436e-06
5,16,sin(2x),2.1936908524367027e-05,1.7353726434521377e-05
5,16,cos(2x),1.5953390175127424e-05,2.973737719003111e-05
5,16,sin(x**2),0.00022311534848995507,0.00018877454567700624
5,16,cos(x**2),0.0010224473662674427,0.0008865916170179844
5,16,tan(x),564.4564208984375,55.2534065246582
5,16,exp(x),7.874649600125849e-05,8.27826006570831e-05
5,16,sqrt(x),4.8863395932130516e-05,5.466438960866071e-05
5,16,log(x),0.0031350429635494947,0.005156165454536676
5,16,exp(-x**2),3.4885490549640963e-06,3.5066884720436065e-06
5,32,x,1.677206910244422e-06,2.034464614553144e-06
5,32,x**2,2.67079085460864e-05,1.812251502997242e-05
5,32,x**3,0.0029205128084868193,0.001660814043134451
5,32,x**4,0.011076685041189194,0.010343542322516441
5,32,x**5,0.03325130417943001,0.028811728581786156
