Layers,Nodes,Function,train MSE,test MSE,R2 Score,time
3,2,I.12.1,0.0009729285957291722,0.0008899501408450305,0.991375744342804,1.3179719001054764
3,2,I.12.4,9.2781861894764e-05,9.841369319474325e-05,0.9698364734649658,9.680889800190926
3,2,I.12.5,0.0012109604431316257,0.0009752414771355689,0.9905492067337036,0.5604447000660002
3,2,I.14.3,0.00037017837166786194,0.0003413037920836359,0.9915293455123901,3.0618142001330853
3,2,I.14.4,9.035610855789855e-05,8.279439498437569e-05,0.9903208017349243,2.1553903999738395
3,2,I.18.12,0.012426246888935566,0.01116048265248537,0.7758084535598755,9.316242000088096
3,2,I.18.16,0.005547741893678904,0.006280073896050453,0.6637643575668335,9.504129500128329
3,2,I.25.13,0.003483326407149434,0.0029437534976750612,0.9906152486801147,0.2816455001011491
3,2,I.26.2,0.0022331431973725557,0.001942389295436442,0.9910525679588318,1.4777664998546243
3,2,I.27.6,0.0002549551136326045,0.0002874907513614744,0.9908289909362793,2.4214794002473354
3,2,I.30.5,0.0015867783222347498,0.0013674194924533367,0.9913297891616821,1.225339200347662
3,2,I.43.16,0.00021430919878184795,0.00022482604254037142,0.9905937314033508,2.099049100186676
3,2,I.47.23,0.0004325043992139399,0.00040221205563284457,0.9905045628547668,2.3680278002284467
3,2,II.10.9,0.0005001730751246214,0.0004640716651920229,0.9922364950180054,3.3618443002924323
3,2,II.13.17,0.0001227150351041928,7.990659651113674e-05,0.9907227754592896,3.605060499627143
3,2,II.15.4,0.0005870246095582843,0.0005801316001452506,0.9900174736976624,3.366404399741441
3,2,II.15.5,0.0004622596316039562,0.0005619084113277495,0.9903310537338257,5.767000600229949
3,2,II.2.42,0.0001495714095653966,0.00019324372988194227,0.9900580048561096,7.2214374002069235
3,2,II.27.16,0.00015534160775132477,0.00016010804392863065,0.9907716512680054,6.078731799963862
3,2,II.27.18,0.0004032925353385508,0.0003235895128455013,0.9905425906181335,0.9858897002413869
3,2,II.3.24,1.8278004063176923e-05,1.8420780179440044e-05,0.9905864596366882,1.2618402997031808
3,2,II.34.11,0.00022326275939121842,0.0002062946296064183,0.9654762744903564,9.451496500056237
3,2,II.34.29b,0.0008350254502147436,0.000978302676230669,0.9205611348152161,9.330721700098366
3,2,II.38.14,0.00010788880899781361,0.00010037968604592606,0.9910995364189148,0.5345954997465014
3,2,II.38.3,0.0002597761922515929,0.0002292526187375188,0.9904085397720337,6.515390099957585
3,2,II.4.23,9.132232662523165e-05,9.214596502715722e-05,0.8908778429031372,9.336292800027877
3,2,II.8.31,8.491562766721472e-05,7.779805309837684e-05,0.9916176795959473,0.9021552000194788
3,2,III.12.43,0.0005168942152522504,0.00046654741163365543,0.9901854991912842,0.6000667000189424
3,2,III.15.27,0.059566378593444824,0.04721364006400108,0.9910314083099365,0.7653132998384535
3,2,III.7.38,0.002410532906651497,0.002124274615198374,0.9900519251823425,1.291664400137961
3,6,I.12.1,0.0010099763749167323,0.0009434323874302208,0.9908574819564819,0.5912418998777866
3,6,I.12.4,3.363434370839968e-05,2.8806618502130732e-05,0.9911708235740662,8.989534299820662
3,6,I.12.5,0.000728280225303024,0.0006967640947550535,0.9932478666305542,0.4410169003531337
3,6,I.14.3,0.0003262400277890265,0.0003556147566996515,0.9911741614341736,2.1460072002373636
3,6,I.14.4,9.272197348764166e-05,8.401551895076409e-05,0.9901780486106873,0.6894950000569224
3,6,I.18.12,0.003734515281394124,0.003788793459534645,0.9238907694816589,12.472964399959892
3,6,I.18.16,0.0022772899828851223,0.0032951764296740294,0.8235759735107422,12.709191100206226
3,6,I.25.13,0.003862237324938178,0.0030784434638917446,0.9901858568191528,0.20027609961107373
3,6,I.26.2,0.0020043731201440096,0.001841686200350523,0.9915164113044739,0.6037155003286898
3,6,I.27.6,0.00024160575412679464,0.00025994586758315563,0.9917076826095581,0.6436196998693049
3,6,I.30.5,0.0010087419068440795,0.0009218769846484065,0.9941547513008118,0.29343289975076914
3,6,I.43.16,0.0002552481018938124,0.00022795815311837941,0.9904627203941345,2.248122400138527
3,6,I.47.23,0.00038046875852160156,0.00039530725916847587,0.9906675219535828,0.6352645996958017
3,6,II.10.9,0.0005618167342618108,0.0004985682317055762,0.99165940284729,0.8247057003900409
3,6,II.13.17,6.836837565060705e-05,6.505563942482695e-05,0.9924469590187073,4.387739200145006
3,6,II.15.4,0.0006613886216655374,0.000691825058311224,0.9880955219268799,12.60467870021239
3,6,II.15.5,0.0005177222774364054,0.0005482214619405568,0.9905665516853333,12.611646300181746
3,6,II.2.42,0.0030067353509366512,0.0033533587120473385,0.8274763822555542,13.52118459995836
3,6,II.27.16,0.00017237881547771394,0.0001675567909842357,0.9903423190116882,4.186340400017798
3,6,II.27.18,0.00030163893825374544,0.00028979431954212487,0.9915302991867065,0.7919463999569416
3,6,II.3.24,2.394887815171387e-05,1.954947401827667e-05,0.9900096654891968,2.570824599824846
3,6,II.34.11,5.086545934318565e-05,5.9380345192039385e-05,0.9900625944137573,11.673730799928308
3,6,II.34.29b,9.26107750274241e-05,0.00011493790952954441,0.9906669855117798,3.7682705000042915
3,6,II.38.14,0.00011546475434442982,0.00010841351468116045,0.9903871417045593,0.57347990013659
3,6,II.38.3,0.00022486152010969818,0.00022155542683321983,0.9907305836677551,1.8033889001235366
3,6,II.4.23,7.957772140798625e-06,7.195726084319176e-06,0.9914786219596863,6.336571999825537
3,6,II.8.31,8.128929766826332e-05,7.70025872043334e-05,0.9917033910751343,1.0272102002054453
3,6,III.12.43,0.0004904850502498448,0.0004743364988826215,0.9900215864181519,0.14783639973029494
