Layers,Nodes,Function,train MSE,test MSE,R2 Score,time
3,2,I.12.1,0.0010621229885146022,0.0009983261115849018,0.9903255105018616,1.5450532999821007
3,2,I.12.4,2.167659295082558e-05,2.6105597498826683e-05,0.9919987320899963,6.75323549984023
3,2,I.12.5,0.0009869736386463046,0.0009205411770381033,0.9910793304443359,0.8330318997614086
3,2,I.14.3,0.00035328452941030264,0.00038483444950543344,0.9904490113258362,8.489002799615264
3,2,I.14.4,8.580805297242478e-05,8.049812458921224e-05,0.9905892610549927,2.412694999948144
3,2,I.18.12,0.009723834693431854,0.009744417853653431,0.8042542934417725,9.791888299863786
3,2,I.18.16,0.00526620214805007,0.006302912253886461,0.6625416278839111,9.80216159997508
3,2,I.25.13,0.003935677465051413,0.0030360317323356867,0.9903210401535034,0.36570070032030344
3,2,I.26.2,0.0021889801137149334,0.0021177860908210278,0.9902445673942566,1.8642272003926337
3,2,I.27.6,0.0003174956073053181,0.00031307846074923873,0.9900127649307251,2.35507920011878
3,2,I.30.5,0.0016472714487463236,0.0014676287537440658,0.9906944036483765,1.077793600037694
3,2,I.43.16,0.00021596832084469497,0.00021906229085288942,0.9908348917961121,9.139899199828506
3,2,I.47.23,0.000350831396644935,0.000412520399549976,0.9902611970901489,3.105987099930644
3,2,II.10.9,0.000731381238438189,0.0005908574676141143,0.9901154637336731,1.4991918997839093
3,2,II.13.17,0.00013235029473435134,8.584134775446728e-05,0.990033745765686,6.127775700297207
3,2,II.15.4,0.0019426088547334075,0.0019592582248151302,0.9662863612174988,9.855869699735194
3,2,II.15.5,0.002257340820506215,0.0024904219899326563,0.9571464657783508,10.290485099889338
3,2,II.2.42,0.00014629805809818208,0.00019242647977080196,0.9901000261306763,5.8119141003116965
3,2,II.27.16,0.0009201826178468764,0.00086759909754619,0.9499931335449219,9.513526000082493
3,2,II.27.18,0.00033939589047804475,0.00032567509333603084,0.9904816746711731,1.7967433999292552
3,2,II.3.24,1.9242514099460095e-05,1.826476727728732e-05,0.9906661510467529,3.2486464004032314
3,2,II.34.11,0.0001898121990961954,0.0001586278376635164,0.9734534025192261,9.697512499988079
3,2,II.34.29b,0.00038702759775333107,0.0004896756145171821,0.960237979888916,9.615428499877453
3,2,II.38.14,0.00010837085574166849,8.854972111294046e-05,0.9921484589576721,0.6663075000979006
3,2,II.38.3,0.00020758216851390898,0.00019132945453748107,0.9919951558113098,4.533365400042385
3,2,II.4.23,5.253660856396891e-05,4.818392699235119e-05,0.9429391026496887,9.386819400358945
3,2,II.8.31,8.437340875389054e-05,9.079478331841528e-05,0.9902173280715942,1.7846896001137793
3,2,III.12.43,0.00046303492854349315,0.0004507875710260123,0.9905170202255249,0.9547600001096725
3,2,III.15.27,0.056653741747140884,0.04610292986035347,0.9912424087524414,0.6169246998615563
3,2,III.7.38,0.0020207001361995935,0.0019699237309396267,0.9907747507095337,2.219377900008112
3,6,I.12.1,0.0010825702920556068,0.0009182592621073127,0.9911014437675476,0.3967208000831306
3,6,I.12.4,0.00029304862255230546,0.00029174864175729454,0.9105798006057739,12.454635600093752
3,6,I.12.5,0.0006091381656005979,0.0005577379488386214,0.9945951104164124,0.5419726995751262
3,6,I.14.3,0.0003379221016075462,0.00036079302662983537,0.9910456538200378,2.8353197001852095
3,6,I.14.4,6.212883454281837e-05,6.506806676043198e-05,0.9923931360244751,0.9314647000283003
3,6,I.18.12,0.0018496261909604073,0.00199805642478168,0.9598630666732788,12.843948800116777
3,6,I.18.16,0.002111617708578706,0.003047493053600192,0.8368369936943054,13.020204300060868
3,6,I.25.13,0.002105571096763015,0.0017332365969195962,0.9944744110107422,0.2880227002315223
3,6,I.26.2,0.0017340978374704719,0.0017884864937514067,0.9917615056037903,0.6026038997806609
3,6,I.27.6,0.00021747828577645123,0.00020186539040878415,0.9935604929924011,1.3742352998815477
3,6,I.30.5,0.001683883718214929,0.0014534892980009317,0.9907840490341187,0.24376840004697442
3,6,I.43.16,0.0002466157602611929,0.00022468806128017604,0.990599513053894,0.8400313002057374
3,6,I.47.23,0.00027842153212986887,0.0002821868984028697,0.9933381080627441,0.43066299986094236
3,6,II.10.9,0.0006389804766513407,0.0005880689714103937,0.9901621341705322,0.6991801001131535
3,6,II.13.17,0.0001132440593210049,7.804941560607404e-05,0.9909383654594421,1.7834875998087227
3,6,II.15.4,0.000464287877548486,0.0005365461111068726,0.9907674789428711,2.433444299735129
3,6,II.15.5,0.0005004272097721696,0.00053533969912678,0.9907882213592529,2.230876799672842
3,6,II.2.42,0.00013012002455070615,0.00019053790310863405,0.9901971817016602,2.7352856998331845
3,6,II.27.16,0.00013784364273305982,0.00015420162526424974,0.9911121129989624,2.3206143002025783
3,6,II.27.18,0.0003691830497700721,0.0003260817611590028,0.990469753742218,0.6589629999361932
3,6,II.3.24,1.8805005311151035e-05,1.7584930901648477e-05,0.9910135865211487,2.1498726001009345
3,6,II.34.11,0.0014651019591838121,0.001429061172530055,0.7608444690704346,12.530720199923962
3,6,II.34.29b,6.491078966064379e-05,6.444372411351651e-05,0.9947671294212341,7.976526299957186
3,6,II.38.14,0.00010814445704454556,0.0001045292810886167,0.9907315969467163,0.40642830030992627
3,6,II.38.3,0.0002110222412738949,0.00020450529700610787,0.991443932056427,3.4927786998450756
3,6,II.4.23,9.699498150439467e-06,7.839599675207864e-06,0.9907160997390747,11.239427600055933
3,6,II.8.31,9.195115853799507e-05,9.116673027165234e-05,0.9901772737503052,0.7906488003209233
3,6,III.12.43,0.000441014941316098,0.0004329601360950619,0.9908920526504517,0.619561200030148
3,6,III.15.27,0.035345327109098434,0.03151600435376167,0.9940133094787598,0.5342374001629651
3,6,III.7.38,0.0016907600220292807,0.0014693927951157093,0.9931187629699707,0.635264300275594
3,10,I.12.1,0.0009949271334335208,0.0009282022947445512,0.9910050630569458,0.2444092002697289
3,10,I.12.4,1.8492033632355742e-05,2.29878060054034e-05,0.9929543137550354,7.142887500114739
3,10,I.12.5,0.0005357675836421549,0.0005236735451035202,0.9949252605438232,0.33041749987751245
3,10,I.14.3,0.00035997413215227425,0.00038274514372460544,0.9905008673667908,0.8661009999923408
3,10,I.14.4,0.0001099615401471965,8.542396972188726e-05,0.9900134205818176,0.6263759001158178
3,10,I.18.12,0.001870088977739215,0.0018130954122170806,0.9635785818099976,14.572095400188118
3,10,I.18.16,0.003337038913741708,0.004132926929742098,0.7787227630615234,14.738145700190216
3,10,I.25.13,0.003632094943895936,0.0024846578016877174,0.9920788407325745,0.17917339969426394
3,10,I.26.2,0.0016686063027009368,0.001625744509510696,0.9925111532211304,0.6265813997015357
3,10,I.27.6,0.00026346099912188947,0.0002659379970282316,0.9915165305137634,0.4589595003053546
3,10,I.30.5,0.0013095213798806071,0.0012601634953171015,0.9920098185539246,0.5696144998073578
3,10,I.43.16,0.00021721504162997007,0.00018160781473852694,0.9924018979072571,2.430563500151038
3,10,I.47.23,0.000324611843097955,0.000322358391713351,0.9923897385597229,1.1509912996552885
3,10,II.10.9,0.0007141391979530454,0.0005918348324485123,0.9900991320610046,0.5701150000095367
3,10,II.13.17,5.0787020882125944e-05,5.931964915362187e-05,0.9931129217147827,3.5328693999908864
3,10,II.15.4,0.0004149407031945884,0.00048899429384619,0.9915857315063477,0.6339066000655293
3,10,II.15.5,0.0003893508983310312,0.0004532619204837829,0.9922005534172058,0.8089275001548231
3,10,II.2.42,0.00013388613297138363,0.00017833252786658704,0.9908251762390137,3.681992799974978
3,10,II.27.16,0.0001407520758220926,0.00013761677837464958,0.9920679926872253,1.9323049997910857
3,10,II.27.18,0.000172399464645423,0.00017762566858436912,0.9948086142539978,0.5735964998602867
3,10,II.3.24,1.523364699096419e-05,1.520982914371416e-05,0.99222731590271,1.0813535996712744
3,10,II.34.11,6.273599137784913e-05,4.9910486268345267e-05,0.9916474223136902,4.043407900258899
3,10,II.34.29b,5.5819044064264745e-05,0.0001155679055955261,0.9906157851219177,3.993313600309193
3,10,II.38.14,7.670038030482829e-05,7.217775419121608e-05,0.9936001300811768,0.2840909003280103
3,10,II.38.3,0.0002323547232663259,0.0002348984417039901,0.9901723265647888,0.6376541997306049
3,10,II.4.23,7.5427615229273215e-06,6.737896455888404e-06,0.9920207858085632,6.648666299879551
3,10,II.8.31,7.245731103466824e-05,6.536475120810792e-05,0.9929572939872742,0.5293135000392795
3,10,III.12.43,0.0003037670685444027,0.00029274343978613615,0.9938417077064514,0.37226139986887574
3,10,III.15.27,0.04408896714448929,0.0408637635409832,0.9922376275062561,0.28477829974144697
3,10,III.7.38,0.0018323918338865042,0.001780034159310162,0.9916640520095825,0.35708679957315326
3,14,I.12.1,0.0007016102899797261,0.0006935657584108412,0.9932788610458374,0.5184841002337635
3,14,I.12.4,2.1171592379687354e-05,2.7763930120272562e-05,0.9914904236793518,3.6287155002355576
3,14,I.12.5,0.0008037090883590281,0.0007683621952310205,0.9925540089607239,1.6738829999230802
3,14,I.14.3,0.0003921758907381445,0.0003847801999654621,0.9904503226280212,0.41954619996249676
3,14,I.14.4,5.675524880643934e-05,5.272677663015202e-05,0.9938359260559082,1.441418900154531
3,14,I.18.12,0.0021565998904407024,0.0022458727471530437,0.954884946346283,15.19639280019328
3,14,I.18.16,0.0026094261556863785,0.0035781008191406727,0.808428168296814,16.50953869987279
3,14,I.25.13,0.0036853798665106297,0.003009629203006625,0.9904052019119263,0.18100650003179908
3,14,I.26.2,0.002039376413449645,0.0021205120719969273,0.9902320504188538,0.5905109001323581
3,14,I.27.6,0.00028325984021648765,0.000302253058180213,0.9903581142425537,0.3832364003174007
3,14,I.30.5,0.0011896559735760093,0.0010580101516097784,0.9932916164398193,0.3060043998993933
3,14,I.43.16,0.00013728394696954638,0.00014620156434830278,0.9938832521438599,1.3538548997603357
3,14,I.47.23,0.0003661417285911739,0.0003768679453060031,0.9911028742790222,0.9714518999680877
3,14,II.10.9,0.00044214873923920095,0.0003935297718271613,0.9934166073799133,0.4505163999274373
3,14,II.13.17,0.00010305923933628947,5.222151230555028e-05,0.9939370155334473,8.59739900007844
3,14,II.15.4,0.0016651019686833024,0.0019986422266811132,0.9656086564064026,15.02454169979319
3,14,II.15.5,0.0004019741609226912,0.0003908860089723021,0.993273913860321,1.3452591001987457
3,14,II.2.42,0.00011363245721440762,0.000142971781315282,0.9926443696022034,3.780327800195664
3,14,II.27.16,0.00014565253513865173,0.00014373155136127025,0.9917155504226685,1.4096015999093652
3,14,II.27.18,0.00031394706456921995,0.00028887169901281595,0.9915573000907898,0.35176749993115664
3,14,II.3.24,8.606412848166656e-06,8.630750016891398e-06,0.9955894351005554,3.2102683996781707
3,14,II.34.11,0.0025035531725734472,0.0023337770253419876,0.6094388961791992,15.57125290017575
3,14,II.34.29b,8.222206815844402e-05,0.0001210977861774154,0.9901667833328247,1.6781991999596357
3,14,II.38.14,8.448796143056825e-05,8.609541691839695e-05,0.9923660755157471,0.41754830023273826
3,14,II.38.3,0.00017158171976916492,0.00017245511116925627,0.992784857749939,1.403344300109893
3,14,II.4.23,6.485620360763278e-06,6.497680260508787e-06,0.9923052191734314,3.3880179999396205
3,14,II.8.31,3.996559098595753e-05,4.0032013203017414e-05,0.9956867694854736,0.6084338999353349
3,14,III.12.43,0.0003788508183788508,0.000332050200086087,0.9930148124694824,0.23217409988865256
3,14,III.15.27,0.02794140949845314,0.025971874594688416,0.9950664639472961,1.0379949999041855
3,14,III.7.38,0.0010734389070421457,0.0009177819010801613,0.9957019686698914,0.7519676997326314
3,18,I.12.1,0.0008729467517696321,0.0009125074138864875,0.9911571741104126,0.3556778999045491
3,18,I.12.4,2.2904412617208436e-05,2.275481165270321e-05,0.9930257201194763,3.816218300256878
3,18,I.12.5,0.0008997224504128098,0.0008242559270001948,0.9920123815536499,0.4628834999166429
3,18,I.14.3,0.00026502765831537545,0.0002888269373215735,0.9928317666053772,0.5984744997695088
3,18,I.14.4,6.8741908762604e-05,5.9874702856177464e-05,0.9930002689361572,0.4221000000834465
3,18,I.18.12,0.003260699100792408,0.004155995324254036,0.9165144562721252,15.483333500102162
3,18,I.18.16,0.004678899422287941,0.006649598013609648,0.6439800262451172,15.644946900196373
3,18,I.25.13,0.0030829054303467274,0.0028091068379580975,0.9910444617271423,0.2836374002508819
3,18,I.26.2,0.0017587993061169982,0.0016821303870528936,0.9922513961791992,0.523460999596864
3,18,I.27.6,0.00024851702619343996,0.00025936937890946865,0.9917261004447937,0.4124538996256888
3,18,I.30.5,0.0004612708289641887,0.00046567345270887017,0.9970473647117615,0.41190759977325797
3,18,I.43.16,0.00021927335183136165,0.00020869812578894198,0.991268515586853,1.4622886995784938
3,18,I.47.23,0.0002884215791709721,0.00026891985908150673,0.9936513304710388,0.5368885002098978
3,18,II.10.9,0.0006395861273631454,0.0005640044109895825,0.9905647039413452,0.2925235996954143
3,18,II.13.17,6.530374230351299e-05,5.0413877033861354e-05,0.9941468834877014,2.325075200293213
3,18,II.15.4,0.00030991117819212377,0.0003835500101558864,0.9934000968933105,1.5821014000102878
3,18,II.15.5,0.0004410037072375417,0.0005008098669350147,0.991382360458374,3.1636890000663698
3,18,II.2.42,0.0001488317211624235,0.00018851729691959918,0.9903011322021484,3.208732500206679
3,18,II.27.16,0.0001133557889261283,0.0001229316694661975,0.9929144382476807,0.7554451003670692
3,18,II.27.18,0.000352660397766158,0.00031865417258813977,0.99068683385849,0.3089617998339236
3,18,II.3.24,1.5491452359128743e-05,1.3055429008090869e-05,0.9933282732963562,0.7196759996004403
3,18,II.34.11,4.4030504795955494e-05,4.024248119094409e-05,0.9932653307914734,3.21387069998309
3,18,II.34.29b,5.5097636504797265e-05,9.261504601454362e-05,0.9924796223640442,2.1933638998307288
3,18,II.38.14,8.907414303394035e-05,8.383507520193234e-05,0.9925664663314819,0.27768190018832684
3,18,II.38.3,0.0002574967220425606,0.00020275851420592517,0.9915170073509216,1.983925700187683
3,18,II.4.23,7.046882092254236e-05,7.370227831415832e-05,0.9127194881439209,14.704076900146902
3,18,II.8.31,3.227959314244799e-05,3.3393131161574274e-05,0.9964020848274231,0.34250079980120063
3,18,III.12.43,0.0002117891563102603,0.00021364886197261512,0.9955055713653564,0.2243649000301957
3,18,III.15.27,0.025651689618825912,0.020763132721185684,0.9960559010505676,0.7075972002930939
3,18,III.7.38,0.0012614409206435084,0.0012094442499801517,0.9943361282348633,0.7057845997624099
3,22,I.12.1,0.0005799821810796857,0.0004898037877865136,0.9952534437179565,0.43347050016745925
3,22,I.12.4,1.961231646419037e-05,2.7188807507627644e-05,0.9916666746139526,2.760085499845445
3,22,I.12.5,0.0005021605757065117,0.0004738162679132074,0.9954084157943726,0.3563194000162184
3,22,I.14.3,0.00031718608806841075,0.0003078971349168569,0.9923584461212158,1.9732185998000205
3,22,I.14.4,9.114012209465727e-05,8.406765846302733e-05,0.9901719689369202,0.7156601999886334
3,22,I.18.12,0.0017220387235283852,0.001993526704609394,0.9599540829658508,14.949233700055629
3,22,I.18.16,0.0015900785801932216,0.0018903145100921392,0.8987923860549927,15.447176299989223
3,22,I.25.13,0.002296931343153119,0.0022573976311832666,0.9928033351898193,0.3259629998356104
3,22,I.26.2,0.0017789845587685704,0.0017535589868202806,0.9919223785400391,0.9745949995703995
3,22,I.27.6,0.0002904873981606215,0.00027962555759586394,0.9910799264907837,0.7689193999394774
3,22,I.30.5,0.0014688392402604222,0.0013276784447953105,0.9915817379951477,0.35808550007641315
3,22,I.43.16,0.00017762692004907876,0.00022123953385744244,0.9907438158988953,1.3485791999846697
3,22,I.47.23,0.00018508538778405637,0.00017520245455671102,0.9958637952804565,0.6734517002478242
3,22,II.10.9,0.0005290236440487206,0.0005134078674018383,0.9914111495018005,0.38050050009042025
3,22,II.13.17,6.870947981951758e-05,5.251439506537281e-05,0.9939030408859253,4.358726699836552
