Main Network Layers,Function,train MSE,test MSE,R2 Score (Test),R2 Score (Train),time,Level
1,I.10.7,0.00033509923378005624,0.0006282936665229499,0.9942760467529297,0.9972495436668396,14.114270299993223,Medium
1,I.11.19,0.053734924644231796,0.0680612325668335,0.7872763276100159,0.84757399559021,13.79211569999461,Medium
1,I.12.11,0.018272405490279198,0.021067796275019646,0.8300868272781372,0.859123706817627,13.627493199994205,Medium
1,I.12.1,0.00011328307300573215,0.00010215181100647897,0.9990100860595703,0.9990060329437256,1.6489798999973573,Easy
1,I.12.2,1.9742608856176957e-05,5.720807894249447e-05,0.9480192065238953,0.9842393398284912,13.614706199994544,Medium
1,I.12.4,1.2356666957202833e-05,1.3403728189587127e-05,0.995891809463501,0.9965850114822388,13.512758299999405,Easy
1,I.12.5,8.336666360264644e-05,8.220853487728164e-05,0.9992033243179321,0.9992685317993164,2.351878300003591,Easy
1,I.13.12,0.0006686106789857149,0.0005353307351469994,0.957858681678772,0.9537322521209717,13.578060300002107,Medium
1,I.13.4,0.000106732317362912,9.313221380580217e-05,0.9990763664245605,0.999019980430603,2.2129987999942387,Medium
1,I.14.3,3.2146759622264653e-05,3.292759720352478e-05,0.9991827607154846,0.9991593956947327,9.318376099996385,Easy
1,I.14.4,8.808501661405899e-06,8.031694960664026e-06,0.9990610480308533,0.9990671873092651,3.0648279000015464,Easy
1,I.15.10,0.00042764589306898415,0.00045958178816363215,0.9957378506660461,0.9964799284934998,13.62249399999564,Medium
1,I.15.3t,0.004539755173027515,0.006404296029359102,0.9859287142753601,0.9908943176269531,13.722054999991087,Hard
1,I.15.3x,0.008247386664152145,0.00990653969347477,0.9824775457382202,0.9862123727798462,13.822898099999293,Hard
1,I.16.6,0.0003870857763104141,0.00032689550425857306,0.9990860819816589,0.9989129900932312,0.6526295000076061,Medium
1,I.18.12,0.0024973179679363966,0.0026147488970309496,0.9474749565124512,0.9567410945892334,13.58185700001195,Easy
1,I.18.16,0.000988784129731357,0.001199910300783813,0.9357566833496094,0.9422773718833923,13.746973200002685,Easy
1,I.18.4,0.000131245658849366,0.00015560384781565517,0.9990904927253723,0.9992607831954956,4.032607699991786,Medium
1,I.24.6,3.138481770292856e-05,3.2629755878588185e-05,0.9809403419494629,0.9838740825653076,13.478710200011847,Medium
1,I.25.13,0.00027684244560077786,0.0002530149358790368,0.9991933703422546,0.9991572499275208,1.492683999997098,Easy
1,I.26.2,0.00019385365885682404,0.00020534118812065572,0.9990541338920593,0.9990386962890625,3.909398299991153,Easy
1,I.27.6,2.5696639568195678e-05,3.1142510124482214e-05,0.9990065693855286,0.9992000460624695,1.2175478999997722,Easy
1,I.29.16,0.047375552356243134,0.06248905882239342,0.5486853122711182,0.6636835336685181,13.511901599995326,Hard
1,I.29.4,0.00011769714910769835,9.459890134166926e-05,0.9991779327392578,0.9989612698554993,1.3284365000145044,Medium
