Layers,Nodes,Function,train MSE,test MSE,R2 Score (Test),R2 Score (Train),time,Level
1,2,I.10.7,0.00108344794716686,0.0012787848245352507,0.9883497953414917,0.9911071062088013,9.391301600029692,Medium
1,2,I.11.19,0.11556648463010788,0.12036067247390747,0.6238157749176025,0.6721808910369873,8.921383899985813,Medium
1,2,I.12.11,0.022078827023506165,0.02227582409977913,0.8203440308570862,0.8297770023345947,8.899020200013183,Medium
1,2,I.12.1,0.00010533524618949741,9.175120067084208e-05,0.9991108775138855,0.9990757703781128,2.6545478999614716,Easy
1,2,I.12.2,0.00018987490329891443,0.00019293802324682474,0.8246912956237793,0.8484213352203369,8.935972100007348,Medium
1,2,I.12.4,0.00012521031021606177,0.00013642758131027222,0.9581853151321411,0.9653956294059753,8.863687300006859,Easy
1,2,I.12.5,0.00012484459148254246,9.533619595458731e-05,0.9990761280059814,0.9989045858383179,2.6026908999774605,Easy
1,2,I.13.12,0.0014063013950362802,0.001460485509596765,0.8850302696228027,0.902684211730957,8.838569899904542,Medium
1,2,I.13.4,0.0013642231933772564,0.001254115835763514,0.9875624775886536,0.9874733686447144,8.850376299931668,Medium
1,2,I.14.3,0.00016208182205446064,0.00015850165800657123,0.9960662126541138,0.9957618713378906,8.949029000010341,Easy
1,2,I.14.4,2.986253093695268e-05,2.4312897949130274e-05,0.9971576929092407,0.9968376159667969,8.81471770000644,Easy
1,2,I.15.10,0.001815144787542522,0.0014260478783398867,0.9867749214172363,0.9850590825080872,8.849652700009756,Medium
1,2,I.15.3t,0.017313389107584953,0.019486408680677414,0.9571851491928101,0.9652734398841858,8.885516400099732,Hard
1,2,I.15.3x,0.01664234697818756,0.014346832409501076,0.9746236801147461,0.9721779823303223,8.8731174999848,Hard
1,2,I.16.6,0.00032917759381234646,0.0003480195300653577,0.9990270137786865,0.9990755915641785,5.901115300017409,Medium
1,2,I.18.12,0.010768041014671326,0.010270029306411743,0.7936958074569702,0.8134744763374329,8.815153600065969,Easy
1,2,I.18.16,0.012045367620885372,0.015169802121818066,0.1878076195716858,0.29682302474975586,8.848189400043339,Easy
1,2,I.18.4,0.00014582854055333883,0.00016935875464696437,0.9990101456642151,0.9991786479949951,2.5474546001059934,Medium
1,2,I.24.6,0.0001287726336158812,0.00012060976587235928,0.929549515247345,0.9338350892066956,8.793463100097142,Medium
1,2,I.25.13,0.00034608118585310876,0.0002855600614566356,0.9990895986557007,0.998946487903595,3.4841017000144348,Easy
1,2,I.26.2,0.005126113072037697,0.004395782481878996,0.9797511696815491,0.9745798707008362,8.779011100064963,Easy
1,2,I.27.6,3.2356070732930675e-05,3.0389013772946782e-05,0.999030590057373,0.9989927411079407,4.411977299954742,Easy
1,2,I.29.16,0.0776481032371521,0.07808038592338562,0.43608009815216064,0.4487802982330322,8.8745312000392,Hard
1,2,I.29.4,0.00015033737872727215,0.0001054687236319296,0.9990834593772888,0.9986732006072998,2.757069000042975,Medium
1,2,I.30.3,0.047661468386650085,0.05025152489542961,0.7157346606254578,0.7226994037628174,8.772573199938051,Hard
1,2,I.30.5,0.00016994385805446655,0.00013283046428114176,0.9991577863693237,0.9989882707595825,1.7639971000608057,Easy
1,2,I.32.17,0.00801317859441042,3.4290478229522705,0.24704676866531372,0.9726613759994507,8.93021810008213,Hard
1,2,I.32.5,0.006316059269011021,0.01369218435138464,0.9083080291748047,0.9697349071502686,8.856572899967432,Medium
1,2,I.34.10,0.0016415370628237724,0.0013765782350674272,0.9947953820228577,0.9945254325866699,8.859844699967653,Medium
1,2,I.34.14,0.0002297576138516888,0.00020393915474414825,0.9985750913619995,0.9985575675964355,8.840536300092936,Hard
1,2,I.34.27,0.00011152019578730687,0.00010285168536938727,0.9990032911300659,0.9990215301513672,2.9778053000336513,Medium
1,2,I.34.8,0.009043887257575989,0.0065640355460345745,0.8023844361305237,0.7812180519104004,8.837415299960412,Medium
1,2,I.37.4,0.0058070337399840355,0.005580971948802471,0.9929842948913574,0.9920409917831421,8.801982800010592,Hard
1,2,I.38.12,2.6260719299316406,2.0900957584381104,0.7907716035842896,0.8115415573120117,8.82183570007328,Medium
1,2,I.39.10,0.00014327293320093304,0.00010426692460896447,0.9990251660346985,0.9986962676048279,1.0891851999331266,Medium
1,2,I.39.11,5.033133493270725e-05,5.764996967627667e-05,0.9990442991256714,0.9991509914398193,6.746273200027645,Medium
1,2,I.39.22,0.0005223289481364191,0.00035446949186734855,0.9851697683334351,0.9822964668273926,8.802260100026615,Hard
1,2,I.40.1,0.005560879595577717,0.005488124676048756,0.9355491995811462,0.9385008811950684,8.843940699938685,Hard
1,2,I.41.16,8.349387644557282e-05,7.328656647587195e-05,0.9917044043540955,0.9912009239196777,8.774345699930564,Hard
1,2,I.43.16,0.00028982997173443437,0.00029313808772712946,0.9877357482910156,0.9901766777038574,8.766711100004613,Easy
1,2,I.43.31,0.00010151882452191785,0.00010175779607379809,0.9957488775253296,0.9954270124435425,8.739384799962863,Medium
1,2,I.43.43,0.0013704419834539294,0.0015783716225996614,0.9779905080795288,0.9781333804130554,8.771005099988542,Medium
1,2,I.44.4,0.00022524429368786514,0.0002550959470681846,0.9803828597068787,0.9834900498390198,8.84831839997787,Hard
1,2,I.47.23,4.313056342652999e-05,3.584525620681234e-05,0.999153733253479,0.9990100264549255,4.188072899938561,Easy
1,2,I.50.26,0.022493088617920876,0.027219027280807495,0.8822829127311707,0.9017318487167358,8.825215199962258,Hard
1,2,I.6.20a,1.679234264884144e-05,1.8072769307764247e-05,0.9990711212158203,0.9990763664245605,1.2420076000271365,Hard
1,2,I.6.20b,0.0016313159139826894,0.0016606427961960435,0.9068720936775208,0.9116930961608887,8.872925699921325,Hard
1,2,I.6.20,0.00023033711477182806,0.00023604648595210165,0.9814719557762146,0.9804150462150574,8.8068118999945,Hard
1,2,I.9.18,0.0005245364154689014,0.0005162896704860032,0.34647542238235474,0.37928783893585205,8.9488409999758,Hard
1,2,II.10.9,8.23724694782868e-05,5.721926936530508e-05,0.9990427494049072,0.9986572265625,8.091567900031805,Easy
1,2,II.11.17,0.01609380915760994,0.022362319752573967,0.768462061882019,0.8466235399246216,8.987389999907464,Hard
1,2,II.11.20,4.909522249363363e-05,4.906128015136346e-05,0.972753643989563,0.9765918850898743,8.870424099965021,Hard
1,2,II.11.27,0.0005035301437601447,0.0009790852200239897,0.9932429194450378,0.9952448606491089,8.880108100012876,Hard
1,2,II.11.28,0.0006983489729464054,0.0006945356144569814,0.9990255832672119,0.9991360306739807,1.7253539999946952,Hard
1,2,II.11.3,0.0001800603640731424,0.00016995429177768528,0.9563977718353271,0.9648703336715698,8.942851900006644,Medium
1,2,II.13.17,0.00015780830290168524,0.00014761228521820158,0.9828620553016663,0.9879528880119324,8.877527600037865,Easy
1,2,II.13.23,0.00013679719995707273,0.0003794359799940139,0.9965432286262512,0.9988771677017212,8.848357000038959,Hard
1,2,II.13.34,0.0008065872825682163,0.0007765785558149219,0.9905094504356384,0.9912568926811218,8.805072900024243,Hard
1,2,II.15.4,0.0005957976682111621,0.0006761107360944152,0.9883659482002258,0.9877700209617615,8.93657749996055,Easy
1,2,II.15.5,0.0012192820431664586,0.0014007921563461423,0.9758960604667664,0.9749717116355896,8.886133300024085,Easy
1,2,II.2.42,0.00020003679674118757,0.00035402626963332295,0.9817860722541809,0.9890655875205994,8.918667900026776,Easy
1,2,II.21.32,0.00015394874208141118,0.011350007727742195,0.6011826992034912,0.9815853238105774,8.903996499953791,Medium
1,2,II.24.17,5.24897659488488e-05,6.582486093975604e-05,0.9990226030349731,0.999242901802063,4.447600499959663,Hard
1,2,II.27.16,0.00016326025070156902,0.00016704633890185505,0.9903717637062073,0.9895832538604736,8.801490500103682,Easy
1,2,II.27.18,4.74620028398931e-05,3.2265932532027364e-05,0.9990569949150085,0.99874347448349,4.845106599968858,Easy
1,2,II.3.24,2.0178383692837087e-06,1.693811327641015e-06,0.9991344213485718,0.9989346265792847,5.654605399933644,Easy
