Layers,Nodes,Function,train MSE,test MSE,time
1,4,I.12.1,0.0011424967087805271,0.0010240789270028472,1.0061901998706162
1,4,I.12.4,2.8663203920586966e-05,3.1197123462334275e-05,4.2177705001086
1,4,I.12.5,0.0011037897784262896,0.0010280398419126868,0.6705243997275829
1,4,I.14.3,0.00038765050703659654,0.00035283909528516233,1.841988299973309
1,4,I.14.4,9.85910082818009e-05,8.080146653810516e-05,0.37787909992039204
1,4,I.18.12,0.004284500610083342,0.004305971786379814,5.058979399967939
1,4,I.18.16,0.0077193486504256725,0.008257709443569183,5.153629099950194
1,4,I.25.13,0.003568451851606369,0.0026309636887162924,0.2663830001838505
1,4,I.26.2,0.0022409940138459206,0.002128327265381813,1.5802915003150702
1,4,I.27.6,0.0002448185405228287,0.0003081840695813298,0.5613794000819325
1,4,I.30.5,0.0014622806338593364,0.0014976379461586475,0.8230890999548137
1,4,I.43.16,0.00032888754503801465,0.00023879151558503509,2.8391133998520672
1,4,I.47.23,0.0003784954024013132,0.00041565776336938143,0.3079098998568952
1,4,II.10.9,0.000696740229614079,0.0005622303579002619,0.2616958003491163
1,4,II.13.17,0.0001480170903960243,7.304712198674679e-05,2.394751800224185
1,4,II.15.4,0.0005059644463472068,0.0005248842062428594,2.0036092000082135
1,4,II.15.5,0.000561507185921073,0.0005643798504024744,1.574627200141549
1,4,II.2.42,0.000193489933735691,0.00018496968550607562,4.48989519989118
1,4,II.27.16,0.00019687224994413555,0.00017336146265733987,1.0507459002546966
1,4,II.27.18,0.0004515320179052651,0.0003379872941877693,0.3639131998643279
1,4,II.3.24,2.7206660888623446e-05,1.899732706078794e-05,1.183258100412786
1,4,II.34.11,6.090299575589597e-05,5.6759334256639704e-05,2.260922099929303
1,4,II.34.29b,0.00010436619777465239,0.00010821546311490238,2.7047065999358892
1,4,II.38.14,0.00012230694119352847,0.00010926397953880951,0.37798199988901615
1,4,II.38.3,0.0002936221717391163,0.00021675412426702678,1.6513586998917162
1,4,II.4.23,8.60900581756141e-06,8.240316674346104e-06,4.256569999735802
1,4,II.8.31,0.00010583619587123394,8.849540608935058e-05,0.7641356000676751
1,4,III.12.43,0.00040417187847197056,0.0004267609620001167,0.22700189985334873
1,4,III.15.27,0.06966574490070343,0.05228269845247269,0.34196439990773797
1,4,III.7.38,0.002407300751656294,0.002114313654601574,0.4555031997151673
1,8,I.12.1,0.0010895510204136372,0.0009334639180451632,0.6116471001878381
1,8,I.12.4,2.7220281481277198e-05,2.8164264222141355e-05,3.7909281998872757
1,8,I.12.5,0.0008384836255572736,0.0008770603453740478,0.7905068998225033
1,8,I.14.3,0.00044253846863284707,0.0004005059308838099,0.7358777998015285
1,8,I.14.4,9.474226681049913e-05,6.098446829128079e-05,0.3116037999279797
1,8,I.18.12,0.005660234950482845,0.005680166184902191,7.057610299903899
1,8,I.18.16,0.0050127459689974785,0.00583381624892354,7.061519399750978
1,8,I.25.13,0.0027196877636015415,0.0023754402063786983,0.08165140030905604
1,8,I.26.2,0.0018522413447499275,0.0017284636851400137,1.5985568002797663
1,8,I.27.6,0.00030514507670886815,0.0003081989998463541,0.35622059972956777
1,8,I.30.5,0.0017793612787500024,0.001485541113652289,0.23381399968639016
1,8,I.43.16,0.00021287056733854115,0.00020677574502769858,1.2333734999410808
1,8,I.47.23,0.00040708831511437893,0.00040120529592968524,0.2736239996738732
1,8,II.10.9,0.0006455674301832914,0.0005092943902127445,0.2182036996819079
1,8,II.13.17,0.00012462676386348903,8.0963181972038e-05,2.8666075002402067
1,8,II.15.4,0.0006133278366178274,0.0005295095033943653,6.044533600099385
1,8,II.15.5,0.0005579541902989149,0.0005596934934146702,2.283946600276977
1,8,II.2.42,0.0002190701779909432,0.00018676159379538149,2.8338636998087168
1,8,II.27.16,0.00018090731464326382,0.00017231094534508884,1.5333684999495745
1,8,II.27.18,0.0003750324831344187,0.0003396732790861279,0.8693717001006007
1,8,II.3.24,2.476651206961833e-05,1.883393088064622e-05,0.9309649001806974
1,8,II.34.11,6.517149449791759e-05,5.571905421675183e-05,3.447939599864185
1,8,II.34.29b,8.587066986365244e-05,0.0001098276989068836,2.0159876998513937
1,8,II.38.14,0.00010009071411332116,0.00011061066470574588,0.3380769002251327
1,8,II.38.3,0.00031657758518122137,0.00022719100525137037,0.8246764000505209
1,8,II.4.23,9.542549378238618e-06,8.43818543216912e-06,7.920938800089061
1,8,II.8.31,0.00011769006960093975,9.037254494614899e-05,0.41601959988474846
