subnetwork_size,avg_R2,#R2>0.99,avg_time R2>0.99
2,0.7891061449873036,4,0.870572425017599
3,0.9185714310613172,7,1.0403813286351837
4,0.9608070912032292,15,1.3633886400144548
5,0.968653839209984,19,1.5520353052814149
6,0.9744209318325437,20,1.2351218750234694
7,0.9776102571651853,23,1.1752343347964243
8,0.9791626251977066,25,1.152913327999413
9,0.9787605713153708,26,1.1113247922621667
10,0.9763655580323318,24,0.9775030250311829
11,0.9801543724947962,26,1.0533580038732349
12,0.9795579355338524,26,0.9747376999674509
13,0.977982564219113,27,0.907571388874203
14,0.9750280441909001,26,0.8950035845807108
15,0.9805870302792253,25,0.84353571604006
16,0.9815385259430984,26,0.8430446461738589
